"date","value","u10","v10","d2m","t2m","blh","sp","ssrd","tcc","tp","rh2m","date_unix","day_julian","weekday","hour","set"
2020-06-10 04:00:00,11,0.184323726226381,2.85491193333883,282.870258724742,284.870819835492,305.521386899642,100865.54468574,1019.95179527882,0.995698664293454,4.19242086355889e-05,87.5298455261837,1591761600,162,"Wed",4,"training"
2020-06-10 05:00:00,14.9,0.568966024676845,2.5132947820205,283.053644062218,285.022804033816,313.140909597602,100857.416690112,70862.3652053166,0.999421986144271,0.0001633393577392,87.7281867523838,1591765200,162,"Wed",5,"training"
2020-06-10 06:00:00,14.8,0.77718572223803,2.25768528858065,283.256811491492,285.266855583047,299.878627165775,100837.47101663,201367.625867883,0.981339459942561,0.0003682728122351,87.5105603229394,1591768800,162,"Wed",6,"training"
2020-06-10 07:00:00,17.7,1.15823802590296,1.75085444751107,283.887699824499,285.950419128873,333.914891292984,100819.236500122,417548.837333862,0.996278525893172,0.0003384306983716,87.266554344123,1591772400,162,"Wed",7,"training"
2020-06-10 08:00:00,14.3,1.00668896031347,1.40901788890224,284.119203763645,285.764457693905,367.807390840986,100822.712287726,495453.726839913,0.995698664293454,0.000227116972766,89.7073634303372,1591776000,162,"Wed",8,"training"
2020-06-10 09:00:00,9,0.832830641413864,1.27693470001745,284.365677934421,285.777610172606,479.548410029468,100781.537573031,747770.373338623,0.972000636283957,0.0003907204200085,91.1085271668014,1591779600,162,"Wed",9,"testing"
2020-06-10 10:00:00,12.2,0.774108583850426,0.67619753861117,284.494528856671,286.688419322657,544.709705554948,100779.07778488,999698.466772466,1.00000184774399,0.0002968366016151,86.579739483358,1591783200,162,"Wed",10,"training"
2020-06-10 11:00:00,8.5,0.0604689061253321,1.43797965124908,284.291094101833,287.0018867317,554.05440320339,100765.442002741,910719.814917675,1.00000184774399,0.0002147047661148,83.6957529605965,1591786800,162,"Wed",11,"training"
2020-06-10 12:00:00,5.9,0.0120039765205737,2.06021872712497,283.833432734838,287.354446230215,557.648517683559,100728.33128586,1359790.01963896,1.00000184774399,0.0002292296887917,79.3518951437348,1591790400,162,"Wed",12,"training"
2020-06-10 13:00:00,3.8,0.0530324883552898,2.48038368844455,283.544453799253,286.955853056246,711.153147131615,100704.48203553,1145697.28089665,1.00000184774399,0.0002254003909951,79.8771466255424,1591794000,162,"Wed",13,"testing"
2020-06-10 14:00:00,5.6,0.420237669275999,2.59535310866986,283.525741009714,286.742490623984,993.183310390547,100673.46731537,1183969.75778615,1.00000184774399,0.0002596660040374,80.8922709883293,1591797600,162,"Wed",14,"training"
2020-06-10 15:00:00,10.4,0.0773931672571525,2.88475132484768,283.552740891762,286.531320271505,799.963715936613,100653.84248382,1188535.25629835,0.996278525893172,0.0002475839092652,82.1607938802596,1591801200,162,"Wed",15,"testing"
2020-06-10 16:00:00,8.5,-0.470850322134242,2.71602711844833,283.064337084812,286.376047953506,739.007534352932,100610.101033663,824023.912318984,0.963562124056492,0.0002147707884906,80.3304421639954,1591804800,162,"Wed",16,"training"
2020-06-10 17:00:00,6.5,-0.606500839387772,2.79260026283503,282.550270023637,286.159762748199,784.401200237478,100580.5301022,634895.707994446,0.925901639106434,8.43765962776099e-05,78.7098093006452,1591808400,162,"Wed",17,"training"
2020-06-10 18:00:00,3.9,-0.773948453313207,2.93126567043502,282.227608066883,285.802819090117,761.794220157209,100537.216441287,490451.106129736,0.8112721565518,3.32752774052547e-05,78.8389975699378,1591812000,162,"Wed",18,"training"
2020-06-10 19:00:00,5.7,-1.36783616212072,2.4055658023819,282.354320384614,285.265394196525,642.721207429181,100517.965925326,397392.647093831,0.608381634713886,2.89838229779898e-05,82.3736136229233,1591815600,162,"Wed",19,"testing"
2020-06-10 20:00:00,4.2,-1.97480170907556,1.78947013064019,282.502953398661,284.642112844745,456.474195066777,100534.917074103,99858.137671097,0.649719662967414,2.42962342959e-05,86.6968568384527,1591819200,162,"Wed",20,"training"
2020-06-10 21:00:00,2.7,-2.47534955345909,1.85902224173069,282.768407684541,284.351662273429,425.385104813307,100537.162967632,1457.07399325538,0.838556170770076,7.5265508416647e-06,89.9726092486062,1591822800,162,"Wed",21,"training"
2020-06-10 22:00:00,3.4,-2.60023008635601,2.63769871573758,282.687408038396,284.226713725769,576.48167755965,100534.970547758,0,0.968551985717217,2.97100691118348e-06,90.2293774977328,1591826400,162,"Wed",22,"training"
2020-06-10 23:00:00,6.3,-2.93127889122238,2.22521300958572,282.928268372311,284.246442443821,537.880888042625,100511.762981294,0,0.996537937661466,3.96134254824479e-06,91.5802552834151,1591830000,162,"Wed",23,"testing"
2020-06-11,5.9,-3.34002544037574,1.63917613664336,282.910357559467,284.293937505797,541.942237405217,100504.116248565,0,0.995530809619852,8.25279697550972e-06,91.1824288523319,1591833600,163,"Thu",0,"training"
2020-06-11 01:00:00,11.4,-3.5079859106991,0.635387782576996,282.786853148514,284.306724637867,539.318533834693,100457.005958115,0,0.945601673981039,6.73428233201583e-06,90.353061657637,1591837200,163,"Thu",1,"training"
2020-06-11 02:00:00,13.1,-3.6167114670611,-0.417328397272278,282.71414059488,284.40208010845,498.597216774368,100446.739016269,0,0.872188143553677,7.59257321746899e-06,89.3460339407022,1591840800,163,"Thu",2,"testing"
2020-06-11 03:00:00,9.3,-3.532090161402,-1.17867169532917,282.552408628155,284.423635559655,474.73229662604,100427.702394929,0,0.903119182043858,1.38646989188561e-05,88.2536390952529,1591844400,163,"Thu",3,"training"
2020-06-11 04:00:00,8.5,-3.34566686075301,-1.8542267427981,282.622447926142,284.438980118139,463.374894868703,100409.147036488,777.106129736174,0.939818317499649,2.98421138634425e-05,88.5801843365319,1591848000,163,"Thu",4,"training"
2020-06-11 05:00:00,11.6,-3.31207476668834,-2.36785920987337,282.845397447213,284.412309814107,460.571485574171,100394.334833929,54494.5673477484,0.995958076061749,0.0001031269510059,90.0758985090211,1591851600,163,"Thu",5,"training"
2020-06-11 06:00:00,14.7,-3.51875589505572,-2.76761929317587,283.346900206841,284.878126768104,476.63717730053,100429.787867491,254259.411823051,0.975708698618991,4.33767009032785e-05,90.3256002348577,1591855200,163,"Thu",6,"training"
2020-06-11 07:00:00,17.7,-3.87878108640535,-2.76279233278473,283.98233307445,285.718058671821,624.175576711504,100417.435453083,567044.629041857,0.963363750351326,2.54846370603737e-05,89.1658039181279,1591858800,163,"Thu",7,"training"
2020-06-11 08:00:00,18.3,-4.1952134839306,-2.64409298862082,284.481162578429,287.617130457606,933.628833454132,100431.124708878,1098196.66871652,0.924925030096384,6.04764962365343e-05,81.4440967688581,1591862400,163,"Thu",8,"testing"
2020-06-11 09:00:00,22.2,-4.63062856577652,-2.70574643725309,283.752700414258,288.754819865251,1217.16852479473,100401.01904086,1534298.91489784,0.919462123446416,9.98258322157638e-05,72.1161347946794,1591866000,163,"Thu",9,"training"
